id,type,lat,lon,name,operator,address,network,county,municipality,neighborhood
60418750,node,59.4376452,24.7450592,,Luminor,,,Harju County,Tallinn,All-linn
270045456,node,58.5361431,25.4691512,Swedbank,,,,Viljandi County,Põhja-Sakala vald,
301349148,node,58.3673499,25.5930597,SEB,SEB,,,Viljandi County,Viljandi linn,
301351513,node,58.3665615,25.5921456,Swedbank,Swedbank,,,Viljandi County,Viljandi linn,
348010415,node,59.4452735,25.441298,SEB,SEB,,,Harju County,Kuusalu vald,
348010419,node,59.4452689,25.44124,Swedbank,Swedbank,,,Harju County,Kuusalu vald,
349943483,node,58.990255,22.7546779,Swedpank,,,,Hiiu County,Hiiumaa vald,
385767362,node,59.4447713,24.7614582,SEB,SEB,,,Harju County,Tallinn,
416999629,node,58.3803598,26.7224471,SEB,SEB,"Raekoja plats, 8",,Tartu County,Tartu linn,Vanalinn
430235007,node,58.2724472,26.5210577,,Swedbank,,,Tartu County,Nõo vald,
448338189,node,58.3499876,26.723616,,SEB,,,Tartu County,Tartu linn,
448613989,node,58.3866503,26.723947,Swedbank,Swedbank,,,Tartu County,Tartu linn,
448613990,node,58.3787393,26.7506531,,Swedbank,,,Tartu County,Tartu linn,
448613997,node,58.37499,26.7565657,Swedbank,Swedbank,,,Tartu County,Tartu linn,
448614242,node,58.3500351,26.7236121,,Swedbank,,,Tartu County,Tartu linn,
448614248,node,58.3736052,26.7509096,Swedbank,Swedbank,,,Tartu County,Tartu linn,
448614252,node,58.3683323,26.7667511,Swedbank,Swedbank,,,Tartu County,Tartu linn,
448614253,node,58.3728327,26.7540171,Swedbank,Swedbank,,,Tartu County,Tartu linn,
448614254,node,58.3735337,26.750902,Swedbank,Swedbank,,,Tartu County,Tartu linn,
448614255,node,58.3698329,26.7687106,Swedbank,Swedbank,,,Tartu County,Tartu linn,
448614256,node,58.3740592,26.767879,Swedbank,Swedbank,,,Tartu County,Tartu linn,
448614257,node,58.3762156,26.7119273,Swedbank,Swedbank,"Julius Kuperjanovi, 20",,Tartu County,Tartu linn,
448614341,node,58.3683817,26.7029487,Swedbank,Swedbank,,,Tartu County,Tartu linn,
448614342,node,58.3801268,26.7235119,Swedbank,Swedbank,,,Tartu County,Tartu linn,Vanalinn
448614343,node,58.3820202,26.7301497,,Swedbank,,,Tartu County,Tartu linn,
448614351,node,58.3683274,26.7391763,Swedbank,Swedbank,,,Tartu County,Tartu linn,
448614385,node,58.3778377,26.7266931,Swedbank,Swedbank,"Riia, 1",,Tartu County,Tartu linn,Uueturu
448614578,node,58.3603317,26.6773086,,Swedbank,,,Tartu County,Tartu linn,
448614601,node,58.3585685,26.6737975,,Swedbank,,,Tartu County,Tartu linn,
448614838,node,58.3786503,26.7314723,Swedbank,Swedbank,,,Tartu County,Tartu linn,Uueturu
448614842,node,58.3479221,26.7195323,,Swedbank,,,Tartu County,Tartu linn,
448614847,node,58.3607933,26.7324102,Swedbank,Swedbank,,,Tartu County,Tartu linn,
448614853,node,58.3853366,26.6946235,Swedbank,Swedbank,,,Tartu County,Tartu linn,
448614858,node,58.3639665,26.740947,Swedbank,Swedbank,,,Tartu County,Tartu linn,
448614863,node,58.3607861,26.7324102,Swedbank,Swedbank,,,Tartu County,Tartu linn,
448614940,node,58.377192,26.7314484,Swedbank,Swedbank,,,Tartu County,Tartu linn,Uueturu
448614943,node,58.3430523,26.7150329,,Swedbank,,,Tartu County,Tartu linn,
448614946,node,58.355848,26.721232,Swedbank,Swedbank,,,Tartu County,Tartu linn,
448614947,node,58.3760047,26.6967625,Swedbank,Swedbank,,,Tartu County,Tartu linn,
448614952,node,58.3816369,26.7517347,,Swedbank,,,Tartu County,Tartu linn,
448846558,node,58.2620144,22.4851827,,SEB,,,Saare County,Saaremaa vald,
463191750,node,59.3250967,24.552983,,Swedbank,,,Harju County,Saue vald,
513312987,node,59.4347581,24.7468495,SEB,SEB,"Pärnu mnt, 12",,Harju County,Tallinn,
540917388,node,59.3841723,28.1571196,,Swedbank,,,Ida-Viru County,Narva linn,
553325380,node,59.3800126,28.1882199,Nordea,Nordea,,,Ida-Viru County,Narva linn,
560892430,node,59.3892864,28.1757129,SEB,SEB,,,Ida-Viru County,Narva linn,
599280936,node,59.4342323,24.7439535,Swedbank,Swedbank,"Vabaduse väljak, 10",,Harju County,Tallinn,
601214400,node,59.5795994,25.7241677,Swedbank,Swedbank,,,Harju County,Loksa linn,
638389322,node,58.7052217,22.5968949,Swedbank ATM,Swedbank,,,Hiiu County,Hiiumaa vald,
649898427,node,59.4363329,24.7546228,Swedbank,Swedbank,"Viru väljak, 4",,Harju County,Tallinn,
649910683,node,59.4367475,24.752359,Swedbank,Swedbank,,,Harju County,Tallinn,
660787996,node,59.3524896,24.0550835,,SEB,,,Harju County,Lääne-Harju vald,
665621968,node,59.1673872,24.7497344,,Swedbank,,,Rapla County,Kohila vald,
665621969,node,59.1814809,24.7813171,Swedbank,Swedbank,,,Rapla County,Kohila vald,
666773423,node,58.2532195,22.4863239,Swedbank,Swedbank,,,Saare County,Saaremaa vald,
730943142,node,59.4360815,24.8227309,,SEB,,,Harju County,Tallinn,
730944828,node,59.4345675,24.832183,,Swedbank,,,Harju County,Tallinn,
734870596,node,58.0022813,25.9229362,SEB,SEB,,,Valga County,Tõrva vald,
741242464,node,58.0537438,27.056767,Swedbank,,,,Põlva County,Põlva vald,
746354858,node,59.436327,24.7501662,Swedbank,Swedbank,,,Harju County,Tallinn,All-linn
748104407,node,59.4320339,24.8235538,,Swedbank,,,Harju County,Tallinn,
749652200,node,58.3152606,26.7218493,,Swedbank,,,Tartu County,Kambja vald,
752606606,node,59.4319583,24.7807892,Swedbank,Swedbank,,,Harju County,Tallinn,
752606617,node,59.4324199,24.7804545,,LHV | Luminor,,,Harju County,Tallinn,
760721318,node,59.3918213,24.7217979,Swedbank,Swedbank,,,Harju County,Tallinn,
797311075,node,59.3877339,24.68384,Swedbank,Swedbank,"Jaama, 2",,Harju County,Tallinn,
797791670,node,59.3276826,27.4203747,,Swedbank,,,Ida-Viru County,Kohtla-Järve linn,
